Safari & Cyclone UEC List (Updated 12/16/2010)

UEC    Description
FC4D   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_4D
FC4E   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_4E
FC4F   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_4F
FC50   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_50
FC51   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_51
FC52   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_52
FC53   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_53
FC54   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_54
FC55   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_55
FC56   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_56
FC57   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_57
FC58   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_58
FC59   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_59
FC5A   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_5A
FC5B   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_5B
FC5C   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_5C
FC5D   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_5D
FC5E   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_5E
FC5F   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_5F
FC60   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_60
FC61   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_61
FC62   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_62
FC63   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_63
FC64   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_64
FC65   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_65
FC66   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_66
FC67   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_67
FC68   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_68
FC69   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_69
FC6A   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_6A
FC6B   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_6B
FC6C   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_6C
FC6D   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_6D
FC6E   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_6E
FC6F   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_6F
FC70   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_70
FC71   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_71
FC72   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_72
FC73   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_73
FC74   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_74
FC75   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_75
FC76   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_76
FC77   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_77
FC78   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_78
FC79   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_79
FC7A   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_7A
FC7B   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_7B
FC7C   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_7C
FC7D   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_7D
FC7E   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_7E
FC7F   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_7F
FC80   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_80
FC81   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_81
FC82   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_82
FC83   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_83
FC84   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_84
FC85   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_85
FC86   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_86
FC87   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_87
FC88   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_88
FC89   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_89
FC8A   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_8A
FC8B   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_8B
FC8C   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_8C
FC8D   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_8D
FC8E   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_8E
FC8F   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_8F
FC90   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_90
FC91   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_91
FC92   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_92
FC93   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_93
FC94   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_94
FC95   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_95
FC96   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_96
FC97   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_97
FC98   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_98
FC99   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_99
FC9A   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_9A
FC9B   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_9B
FC9C   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_9C
FC9D   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_9D
FC9E   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_9E
FC9F   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_9F
FCA0   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_A0
FCA1   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_A1
FCA2   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_A2
FCA3   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_A3
FCA4   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_A4
FCA5   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_A5
FCA6   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_A6
FCA7   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_A7
FCA8   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_A8
FCA9   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_A9
FCAA   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_AA
FCAB   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_AB
FCAC   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_AC
FCAD   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_AD
FCAE   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_AE
FCAF   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_AF
FCB0   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_B0
FCB1   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_B1
FCB2   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_B2
FCB3   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_B3
FCB4   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_B4
FCB5   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_B5
FCB6   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_B6
FCB7   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_B7
FCB8   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_B8
FCB9   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_B9
FCBA   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_BA
FCBB   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_BB
FCBC   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_BC
FCBD   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_BD
FCBE   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_BE
FCBF   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_BF
FCC0   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_C0
FCC1   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_C1
FCC2   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_C2
FCC3   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_C3
FCC4   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_C4
FCC5   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_C5
FCC6   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_C6
FCC7   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_C7
FCC8   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_C8
FCC9   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_C9
FCCA   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_CA
FCCB   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_CB
FCCC   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_CC
FCCD   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_CD
FCCE   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_CE
FCCF   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_CF
FCD0   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_D0
FCD1   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_D1
FCD2   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_D2
FCD3   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_D3
FCD4   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_D4
FCD5   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_D5
FCD6   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_D6
FCD7   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_D7
FCD8   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_D8
FCD9   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_D9
FCDA   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_DA
FCDB   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_DB
FCDC   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_DC
FCDD   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_DD
FCDE   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_DE
FCDF   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_DF
FCE0   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_E0
FCE1   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_E1
FCE2   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_E2
FCE3   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_E3
FCE4   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_E4
FCE5   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_E5
FCE6   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_E6
FCE7   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_E7
FCE8   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_E8
FCE9   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_E9
FCEA   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_EA
FCEB   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_EB
FCEC   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_EC
FCED   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_ED
FCEE   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_EE
FCEF   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_EF
FCF0   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_F0
FCF1   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_F1
FCF2   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_F2
FCF3   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_F3
FCF4   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_F4
FCF5   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_F5
FCF6   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_F6
FCF7   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_F7
FCF8   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_F8
FCF9   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_F9
FCFA   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_FA
FCFB   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_FB
FCFC   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_FC
FCFD   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_FD
FCFE   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_FE
FCFF   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_00
0D00   UEC_XOR_DONE
0D01   UEC_XOR_IPOINT
0D02   UEC_XOR_CATCHUP
0D03   UEC_XOR_DATA_COMPARE_ERROR
0D04   UEC_XOR_SRC1_CRC_ERROR
0D05   UEC_XOR_SRC2_CRC_ERROR
0D06   UEC_XOR_FIFO_OVERRUN_ERROR
0D07   UEC_XOR_FIFO_UNDERRUN_ERROR
0D08   UEC_XOR_SRC1_DRAMECC_ERROR
0D09   UEC_XOR_SRC2_DRAMECC_ERROR
0D0A   UEC_XOR_DATA_TEST_ERROR
0D0B   UEC_XOR_ECC_CORRCTBL_LBA_ERROR
0D0C   UEC_XOR_ECC_UNCORCTBL_LBA_ERROR
C801   UEC_ERR_INJECTION


